eps11,eps22,eps33,eps12,eps13,eps23,sig11,sig22,sig33,sig12,sig13,sig23,loading_case
0.8585608,-0.20349452,-0.20332313,-0.00000000000229,0.00000000000235,-0.00000000094,830.95105,126.4265,126.600746,0.00000000505,-0.00000000403,-0.0000000102,1
0.8845132,-0.20839788,-0.20822412,-2.04E-016,1.27E-016,0.00000000147,834.9707,130.2608,130.42754,0.000000000000457,-0.000000000000285,0.0000000119,1
0.8846613,-0.20841156,-0.20823787,5.29E-016,-3.63E-016,0.000000000826,835.10913,130.29082,130.45813,-0.00000000000122,0.000000000000411,0.0000000203,1
0.88487643,-0.20843726,-0.20826127,-5.18E-016,-2.61E-016,0.00000000479,835.30786,130.33426,130.50488,0.000000000000937,0.000000000000404,0.00000000309,1
0.88518393,-0.20847103,-0.20829728,-5.93E-016,4.24E-017,-0.000000004,835.6244,130.4007,130.57164,0.00000000000119,-0.000000000000106,0.00000000973,1
0.8856415,-0.20852375,-0.20834461,8.49E-016,2.31E-015,-0.000000000354,836.0939,130.50035,130.67917,-0.00000000000148,-0.00000000000346,0.00000000869,1
0.886331,-0.20858836,-0.20841463,8.1E-016,2.45E-015,0.00000000289,836.8217,130.65593,130.8324,-0.00000000000175,-0.00000000000377,-0.00000000917,1
0.88738203,-0.20870255,-0.20853187,-5.44E-015,-0.0000000000000183,0.000000000535,837.88556,130.88345,131.06142,0.0000000000102,0.0000000000278,-0.00000000199,1
0.8889755,-0.20887192,-0.20869403,9.75E-015,4.84E-015,0.00000000113,839.5135,131.22841,131.40814,-0.0000000000187,-0.0000000000072,0.00000000425,1
0.8913482,-0.20913133,-0.2089453,0.0000000000000194,0.000000000000046,0.000000000469,841.9129,131.74384,131.92178,-0.0000000000358,-0.000000000068,0.0000000233,1
0.89492744,-0.20951194,-0.20933084,0.0000000000000648,-0.0000000000000219,0.00000000315,845.51807,132.5186,132.69846,-0.000000000121,0.0000000000302,-0.0000000131,1
0.90024716,-0.21008042,-0.20989336,0.000000000000102,-0.000000000000465,0.0000000032,850.9576,133.66934,133.84901,-0.0000000002,0.000000000696,0.000000000778,1
0.90825236,-0.21093927,-0.21074447,0.000000000000782,0.000000000000127,0.00000000547,859.1394,135.38809,135.56367,-0.00000000147,-0.000000000171,-0.00000000614,1
0.9202562,-0.21223615,-0.21201703,0.000000000000828,0.00000000000204,0.00000000189,871.36475,137.9534,138.13507,-0.00000000157,-0.00000000282,0.00000000416,1
0.9382371,-0.21416973,-0.21394067,-0.000000000000641,-0.000000000000247,-0.0000000112,889.7673,141.7353,141.92401,0.00000000114,0.000000000513,0.0000000226,1
0.9652551,-0.21709095,-0.21682858,-0.00000000000376,0.00000000000291,-0.00000000348,917.4137,147.29912,147.48389,0.00000000692,-0.00000000414,0.0000000365,1
1.0057168,-0.22149447,-0.22118594,-0.00000000000939,-0.00000000000719,0.00000000378,959.01746,155.39085,155.57898,0.0000000175,0.0000000101,-0.0000000518,1
1.0230918,-0.22339065,-0.22306204,0.00000000000212,0.0000000000000324,-0.0000000103,976.92596,158.77057,158.9668,-0.00000000388,-0.000000000219,-0.0000000168,1
1.0554221,-0.2289227,-0.22858301,-1.97E-016,1.8E-016,0.00000000216,982.1177,163.79492,163.99217,0.000000000000385,-0.000000000000295,0.00000000175,1
1.0555611,-0.22893669,-0.22860117,1.86E-015,1.23E-015,0.00000000737,982.2718,163.83008,164.02641,-0.00000000000291,-0.00000000000153,0.00000000242,1
1.0558022,-0.22895439,-0.2286206,-6.13E-016,-4.52E-017,-0.00000000131,982.51984,163.87622,164.0762,0.000000000000872,0.0000000000000304,0.00000000816,1
1.0561045,-0.22899185,-0.22865064,-1.48E-016,-8.26E-016,-0.00000000803,982.88153,163.9541,164.1473,0.000000000000262,0.000000000001,0.00000001,1
1.0566359,-0.2290337,-0.22869162,-2.03E-015,-2.41E-015,-0.00000000212,983.35895,164.07404,164.2528,0.00000000000308,0.00000000000291,-0.00000000427,1
1.0573964,-0.22910368,-0.22876671,6.02E-016,-1.14E-015,0.000000013,984.1845,164.2324,164.43102,-0.000000000000807,0.00000000000135,0.00000000823,1
1.0585383,-0.22920927,-0.22886543,-0.0000000000000132,-4.36E-015,-0.00000000821,985.3456,164.48347,164.67291,0.0000000000209,0.0000000000044,-0.00000000106,1
1.0602387,-0.22936396,-0.22901943,1.66E-015,-5.76E-016,-0.00000000312,987.1248,164.86304,165.051,-0.00000000000219,0.000000000000704,0.00000000978,1
